id,degradation,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
1813,False,2.0,15.0,68.0,742.0,0,0,0,0,employee,0,0,0,0,0,0
1815,False,11.0,162.0,84.0,1195.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1819,False,7.0,162.0,214.0,1387.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1820,False,4.0,368.0,21.0,274.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1821,False,1.0,16.0,6.0,59.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1822,False,121.0,1419.0,2204.0,18978.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1824,False,1.0,2.0,39.0,103.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1825,True,6.0,108.0,404.0,3631.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1827,False,1.0,4.0,12.0,156.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1831,True,117.0,1887.0,3336.0,28359.0,1,0,1,0,employee,0,3,3.0,0,0.0,19
1836,False,72.0,4022.0,761.0,7895.0,1,0,1,0,employee,0,3,3.0,0,0.0,2
1838,False,2.0,18.0,60.0,558.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1839,True,48.0,3077.0,152.0,1976.0,1,0,1,0,employee,0,5,5.0,0,0.0,6
1844,True,25.0,414.0,557.0,5900.0,1,0,1,0,employee,0,3,3.0,0,0.0,4
1845,False,4.0,37.0,29.0,327.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1846,True,12.0,258.0,109.0,1133.0,0,0,0,0,employee,0,0,0,0,0,0
1847,False,15.0,497.0,58.0,1300.0,2,0,1,0,employee,0,8,4.0,0,0.0,1
1849,True,4.0,204.0,382.0,2723.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1850,False,196.0,860.0,3130.0,27624.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1858,False,1.0,12.0,161.0,1723.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1859,True,25.0,364.0,739.0,7449.0,5,0,3,0,employee,0,47,9.4,0,0.0,1
1860,True,100.0,3228.0,2072.0,21087.0,7,0,3,0,employee,0,48,6.857142857142857,0,1.5714285714285714,17
1861,False,2.0,10.0,7.0,170.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1862,False,1.0,32.0,32.0,273.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
1867,False,1.0,4.0,32.0,275.0,3,0,3,0,employee,0,20,6.666666666666667,0,0.0,0
