id,degradation,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
8112,False,5.0,54.0,409.0,3018.0,3,0,3,0,employee,0,36,12.0,0,0.6666666666666666,7
8113,True,34.0,1184.0,767.0,6154.0,2,0,1,0,employee,0,46,23.0,0,0.0,1
8118,False,1.0,2.0,82.0,636.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
8128,False,1.0,4.0,14.0,163.0,2,0,0,2,employee,0,4,2.0,0,0.5,9
8131,False,2.0,81.0,227.0,1213.0,5,0,2,1,employee,0,49,9.8,0,46.0,230
8135,True,9.0,639.0,343.0,2884.0,5,0,0,3,employee,0,38,7.6,0,0.0,2
8153,True,23.0,2579.0,1384.0,9667.0,42,10,2,2,employee,11,1203,28.642857142857142,11253,6.761904761904762,43
8158,False,1.0,2.0,88.0,558.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
8162,True,3.0,543.0,162.0,2972.0,1,0,1,0,employee,0,2,2.0,0,0.0,1
8179,True,6.0,212.0,579.0,4239.0,1,0,1,0,employee,0,5,5.0,0,0.0,0
8190,True,12.0,476.0,542.0,5072.0,10,1,1,2,employee,0,87,8.7,0,36.0,1
8197,False,2.0,84.0,179.0,1709.0,5,0,1,2,employee,0,45,9.0,0,0.8,6
8201,False,5.0,64.0,107.0,815.0,9,0,1,4,employee,0,2314,257.1111111111111,0,86.11111111111111,330
8206,True,2.0,75.0,56.0,416.0,1,0,1,0,employee,0,4,4.0,0,0.0,0
8207,False,6.0,126.0,703.0,4463.0,4,0,1,1,employee,0,21,5.25,0,0.0,0
8210,True,5.0,385.0,231.0,1613.0,4,0,1,1,employee,0,22,5.5,0,0.0,0
8232,False,2.0,38.0,9.0,125.0,3,0,2,1,employee,0,17,5.666666666666667,0,0.0,0
8233,False,3.0,60.0,211.0,1352.0,2,0,2,0,employee,0,20,10.0,0,0.0,0
8245,False,2.0,22.0,290.0,1801.0,3,0,1,2,employee,0,12,4.0,0,0.3333333333333333,1
8247,True,2.0,108.0,157.0,1085.0,3,0,0,2,employee,0,15,5.0,0,0.6666666666666666,4
