project,review_number,pull_request_number,commit,parent,before_total_density_high_level_smells,after_total_density_high_level_smells,before_total_density_low_level_smells,after_total_density_low_level_smells,before_total_diversity_high_level_smells,after_total_diversity_high_level_smells,before_total_diversity_low_level_smells,after_total_diversity_low_level_smells,diff_density_high_level_smells,diff_density_low_level_smells,diff_diversity_high_level_smells,diff_diversity_low_level_smells,impact_on_density_high_level_smells,impact_on_density_low_level_smells,impact_on_diversity_high_level_smells,impact_on_diversity_low_level_smells
presto,341b71d3c59c5a75a9590a93c1f9d5a645f5768182fa6ba5850436bb3ceb90b0c3ad7d875fc6c8f8,5039,341b71d3c59c5a75a9590a93c1f9d5a645f57681,82fa6ba5850436bb3ceb90b0c3ad7d875fc6c8f8,2278.0,2278.0,23190.0,23187.0,12.0,12.0,9,9,0.0,-3.0,0.0,0,invariant,positive,invariant,invariant
presto,1011879a07d9f93721fdfa43b25f92cc8eea3c53737ba20cd655464bbc4b3879b6af98eb17b4a94d,5042,1011879a07d9f93721fdfa43b25f92cc8eea3c53,737ba20cd655464bbc4b3879b6af98eb17b4a94d,2279.0,2279.0,23189.0,23189.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,7beadecb0d85efc5e33bd0f7505d8c8347dd81dd945977c53fb5328da66426e4331d46b7ff5429ea,5043,7beadecb0d85efc5e33bd0f7505d8c8347dd81dd,945977c53fb5328da66426e4331d46b7ff5429ea,0.0,2305.0,0.0,23745.0,0.0,12.0,0,9,2305.0,23745.0,12.0,9,negative,negative,negative,negative
presto,766b9181268900c583bed0e30c05b25e10087c881011879a07d9f93721fdfa43b25f92cc8eea3c53,5047,766b9181268900c583bed0e30c05b25e10087c88,1011879a07d9f93721fdfa43b25f92cc8eea3c53,2279.0,2279.0,23189.0,23189.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,1beac9c266edbddac0ef8133c29cb1a4aa80c3bb048bab4e6ba5e132611863d90deb95df1d0c72cf,5048,1beac9c266edbddac0ef8133c29cb1a4aa80c3bb,048bab4e6ba5e132611863d90deb95df1d0c72cf,2279.0,2279.0,23189.0,23189.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,048bab4e6ba5e132611863d90deb95df1d0c72cf766b9181268900c583bed0e30c05b25e10087c88,5048,048bab4e6ba5e132611863d90deb95df1d0c72cf,766b9181268900c583bed0e30c05b25e10087c88,2279.0,2279.0,23189.0,23189.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,1cefbf761320a99993d550be86214580000caaf91beac9c266edbddac0ef8133c29cb1a4aa80c3bb,5049,1cefbf761320a99993d550be86214580000caaf9,1beac9c266edbddac0ef8133c29cb1a4aa80c3bb,2279.0,2278.0,23189.0,23190.0,12.0,12.0,9,9,-1.0,1.0,0.0,0,positive,negative,invariant,invariant
presto,fd2bf7d972c703a603f7ec043b96649347f7e184a20abd12dbb360d5269e63185b1056ae3b5909a7,5051,fd2bf7d972c703a603f7ec043b96649347f7e184,a20abd12dbb360d5269e63185b1056ae3b5909a7,2277.0,2277.0,23185.0,23185.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
presto,1cb3c109a5c11edccc1ddcf1e02741244786b1c2c5a2258b1d44255deb260e5c1a8dd350309068ff,5053,1cb3c109a5c11edccc1ddcf1e02741244786b1c2,c5a2258b1d44255deb260e5c1a8dd350309068ff,2277.0,2277.0,23196.0,23325.0,12.0,12.0,9,9,0.0,129.0,0.0,0,invariant,negative,invariant,invariant
presto,d725e4c654270636bc7de92cc6d74683b1de29fe2289bf56b2278c6145badc6cf53e4a919a79c661,5053,d725e4c654270636bc7de92cc6d74683b1de29fe,2289bf56b2278c6145badc6cf53e4a919a79c661,2276.0,2276.0,23190.0,23190.0,12.0,12.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
