project,review_number,pull_request_number,commit,parent,before_total_density_high_level_smells,after_total_density_high_level_smells,before_total_density_low_level_smells,after_total_density_low_level_smells,before_total_diversity_high_level_smells,after_total_diversity_high_level_smells,before_total_diversity_low_level_smells,after_total_diversity_low_level_smells,diff_density_high_level_smells,diff_density_low_level_smells,diff_diversity_high_level_smells,diff_diversity_low_level_smells,impact_on_density_high_level_smells,impact_on_density_low_level_smells,impact_on_diversity_high_level_smells,impact_on_diversity_low_level_smells
okhttp,e0b9d4964c7fb121374a85a4d47ee6799f1a9f89740dfbafcc4b9ba840536f4d377b2962859e9552,3829,e0b9d4964c7fb121374a85a4d47ee6799f1a9f89,740dfbafcc4b9ba840536f4d377b2962859e9552,363.0,363,4379.0,4379,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,a40d227d5d3bfb2eab688b5517b003885b3e68d52e85e1ecf7dc11644132a0c8eccf6641d9ed22af,3845,a40d227d5d3bfb2eab688b5517b003885b3e68d5,2e85e1ecf7dc11644132a0c8eccf6641d9ed22af,363.0,363,4378.0,4378,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,ea014716fd2a8712ee39888725f91bed43148cd39a7b6715d71ca5588133a659e46460b254d9d98b,3864,ea014716fd2a8712ee39888725f91bed43148cd3,9a7b6715d71ca5588133a659e46460b254d9d98b,365.0,365,4389.0,4389,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,f704f9d30e941ebdbdc95843c931cfc9d34bcba63f3aebac5b5bb9352eabefa24a40ba2298a0f2a7,3875,f704f9d30e941ebdbdc95843c931cfc9d34bcba6,3f3aebac5b5bb9352eabefa24a40ba2298a0f2a7,365.0,365,4395.0,4396,9.0,9.0,9,9,0.0,1.0,0.0,0,invariant,negative,invariant,invariant
okhttp,ff32c38d2c5c2c2d4aaf41ef709c0616fc3c0ccbe86eb0e48b1fd86fce8b7dfaa8f977430902c0a1,3889,ff32c38d2c5c2c2d4aaf41ef709c0616fc3c0ccb,e86eb0e48b1fd86fce8b7dfaa8f977430902c0a1,367.0,367,4411.0,4411,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,691a82b58e8d6c47cd9bf33fcee8a2988f08226c878bde8fd6939b508adeb21e2911e390cfe27326,3960,691a82b58e8d6c47cd9bf33fcee8a2988f08226c,878bde8fd6939b508adeb21e2911e390cfe27326,366.0,366,4408.0,4411,9.0,9.0,9,9,0.0,3.0,0.0,0,invariant,negative,invariant,invariant
okhttp,c218c1a445f528c37ac16add90325db040b347a7e593e2e16350ecbfeb8470c85fce876cdd4e86a8,3967,c218c1a445f528c37ac16add90325db040b347a7,e593e2e16350ecbfeb8470c85fce876cdd4e86a8,366.0,366,4411.0,4411,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,9b6afa15b64fb2acdaed46b8a35b3dbe9ca555821ca5c113e4938a4af8092da66daae601aa5e1847,3977,9b6afa15b64fb2acdaed46b8a35b3dbe9ca55582,1ca5c113e4938a4af8092da66daae601aa5e1847,366.0,366,4413.0,4413,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,117b755c98497b22f77280dc5f203934001888799b6afa15b64fb2acdaed46b8a35b3dbe9ca55582,3977,117b755c98497b22f77280dc5f20393400188879,9b6afa15b64fb2acdaed46b8a35b3dbe9ca55582,366.0,366,4413.0,4413,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
okhttp,1f668c41d110db68f1e75d491a31272e0c3f1365795cafd2ac0e00449aa0b84e8b0a4dda859bc7d2,4018,1f668c41d110db68f1e75d491a31272e0c3f1365,795cafd2ac0e00449aa0b84e8b0a4dda859bc7d2,365.0,365,4417.0,4417,9.0,9.0,9,9,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
