project,review_number,pull_request_number,commit,parent,before_total_density_high_level_smells,after_total_density_high_level_smells,before_total_density_low_level_smells,after_total_density_low_level_smells,before_total_diversity_high_level_smells,after_total_diversity_high_level_smells,before_total_diversity_low_level_smells,after_total_diversity_low_level_smells,diff_density_high_level_smells,diff_density_low_level_smells,diff_diversity_high_level_smells,diff_diversity_low_level_smells,impact_on_density_high_level_smells,impact_on_density_low_level_smells,impact_on_diversity_high_level_smells,impact_on_diversity_low_level_smells
RxJava,24c067384ef3ab583e86c26dbae472601633fbc3d58d3b3ca405a5bd151f3958893715971d28a89e,109,24c067384ef3ab583e86c26dbae472601633fbc3,d58d3b3ca405a5bd151f3958893715971d28a89e,148.0,148.0,757.0,757.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,b276ae100fd03b240b46d00f7c17ea4ee1dcefba24c067384ef3ab583e86c26dbae472601633fbc3,109,b276ae100fd03b240b46d00f7c17ea4ee1dcefba,24c067384ef3ab583e86c26dbae472601633fbc3,148.0,149.0,757.0,757.0,8.0,8.0,6,6,1.0,0.0,0.0,0,negative,invariant,invariant,invariant
RxJava,38ad57c1e90f982a2715c350ce3994c4f4d5c0e7b276ae100fd03b240b46d00f7c17ea4ee1dcefba,109,38ad57c1e90f982a2715c350ce3994c4f4d5c0e7,b276ae100fd03b240b46d00f7c17ea4ee1dcefba,149.0,149.0,757.0,757.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,c52f7cbe11c99fb4b1cdb02c8c1fb970307aa964fa1af64cd44b1df370e39394a479e3c33335fc6c,110,c52f7cbe11c99fb4b1cdb02c8c1fb970307aa964,fa1af64cd44b1df370e39394a479e3c33335fc6c,145.0,145.0,757.0,757.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,1553a22f4c53c8791fcf25bc6c6b178c43cf75b6c52f7cbe11c99fb4b1cdb02c8c1fb970307aa964,110,1553a22f4c53c8791fcf25bc6c6b178c43cf75b6,c52f7cbe11c99fb4b1cdb02c8c1fb970307aa964,145.0,145.0,757.0,757.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,0b96a8d66fae8e8c1b499a6469d57fc275a569641553a22f4c53c8791fcf25bc6c6b178c43cf75b6,110,0b96a8d66fae8e8c1b499a6469d57fc275a56964,1553a22f4c53c8791fcf25bc6c6b178c43cf75b6,145.0,145.0,757.0,757.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,19760e798043c1f867fd414578ffefde3564150d88b722b238353fbb705e71f84f458fb1511a27d0,111,19760e798043c1f867fd414578ffefde3564150d,88b722b238353fbb705e71f84f458fb1511a27d0,145.0,145.0,757.0,757.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,72b3c66c95c3da1b2b3b364d966a962576fb8cb819760e798043c1f867fd414578ffefde3564150d,111,72b3c66c95c3da1b2b3b364d966a962576fb8cb8,19760e798043c1f867fd414578ffefde3564150d,145.0,145.0,757.0,757.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,377e5bd915e80ec8c664fb4f64c92a7b7a8448e5a2a215e413d04c5b8f5ed1abfd164658d84388b0,112,377e5bd915e80ec8c664fb4f64c92a7b7a8448e5,a2a215e413d04c5b8f5ed1abfd164658d84388b0,145.0,145.0,757.0,757.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,b61b7607e0f2b00a0d36672a95999f1fb081dbf1377e5bd915e80ec8c664fb4f64c92a7b7a8448e5,112,b61b7607e0f2b00a0d36672a95999f1fb081dbf1,377e5bd915e80ec8c664fb4f64c92a7b7a8448e5,145.0,145.0,757.0,757.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,a1f6e0bdf7e8a352ea1d3712623c52e5c81adf81e0ef8e6824cdffb0007ac312d81767f061828d21,113,a1f6e0bdf7e8a352ea1d3712623c52e5c81adf81,e0ef8e6824cdffb0007ac312d81767f061828d21,145.0,150.0,757.0,757.0,8.0,8.0,6,6,5.0,0.0,0.0,0,negative,invariant,invariant,invariant
RxJava,031af80c334410a4566bf38eab8ce0c384f818e3a1f6e0bdf7e8a352ea1d3712623c52e5c81adf81,113,031af80c334410a4566bf38eab8ce0c384f818e3,a1f6e0bdf7e8a352ea1d3712623c52e5c81adf81,150.0,150.0,757.0,757.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,451ba0323bad83c8ffdbaf555de20a438e393ad5031af80c334410a4566bf38eab8ce0c384f818e3,113,451ba0323bad83c8ffdbaf555de20a438e393ad5,031af80c334410a4566bf38eab8ce0c384f818e3,150.0,151.0,757.0,760.0,8.0,8.0,6,6,1.0,3.0,0.0,0,negative,negative,invariant,invariant
RxJava,b29a96a3e54cef5acc40eaf16dd561e945c9c380451ba0323bad83c8ffdbaf555de20a438e393ad5,113,b29a96a3e54cef5acc40eaf16dd561e945c9c380,451ba0323bad83c8ffdbaf555de20a438e393ad5,151.0,151.0,760.0,760.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
RxJava,71dd1b3694d2d54fd945539acd82e89c1222e466b29a96a3e54cef5acc40eaf16dd561e945c9c380,113,71dd1b3694d2d54fd945539acd82e89c1222e466,b29a96a3e54cef5acc40eaf16dd561e945c9c380,151.0,151.0,760.0,760.0,8.0,8.0,6,6,0.0,0.0,0.0,0,invariant,invariant,invariant,invariant
