id,degradation,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
123,False,1.0,2.0,165.0,1790.0,2,0,1,1,employee,0,24,12.0,0,0.0,0
124,False,2.0,25.0,66.0,662.0,1,0,1,0,employee,1,39,39.0,421,0.0,0
125,False,2.0,77.0,385.0,2998.0,6,1,1,1,temporary,0,90,15.0,0,0.0,1
126,False,1.0,6.0,42.0,258.0,1,0,0,1,employee,0,10,10.0,0,0.0,0
127,False,1.0,4.0,43.0,319.0,0,0,0,0,employee,0,0,0,0,0,2
129,True,58.0,62.0,4.0,63.0,1,0,1,0,employee,0,10,10.0,0,0.0,0
130,False,1.0,203.0,30.0,204.0,5,0,1,1,employee,1,70,14.0,860,0.0,1
132,False,10.0,75.0,1063.0,7653.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
133,True,9.0,268.0,892.0,6986.0,0,0,0,0,employee,0,0,0,0,0,0
134,False,2.0,1198.0,152.0,951.0,2,0,1,1,employee,0,13,6.5,0,0.0,0
135,False,1.0,1.0,131.0,828.0,0,0,0,0,employee,0,0,0,0,0,0
136,False,7.0,165.0,683.0,4989.0,0,0,0,0,employee,0,0,0,0,0,0
138,True,2.0,311.0,32.0,313.0,2,0,2,0,employee,0,13,6.5,0,0.0,0
140,False,1.0,1.0,89.0,429.0,5,0,1,1,employee,0,28,5.6,0,0.0,0
141,False,3.0,98.0,454.0,4386.0,0,0,0,0,employee,0,0,0,0,0,0
142,False,10.0,412.0,540.0,3612.0,4,0,1,1,employee,0,22,5.5,0,0.0,0
143,False,2.0,17.0,58.0,365.0,0,0,0,0,employee,0,0,0,0,0,0
144,False,1.0,23.0,42.0,274.0,0,0,0,0,employee,0,0,0,0,0,0
146,False,1.0,6.0,93.0,580.0,2,0,1,1,employee,0,4,2.0,0,0.0,0
147,False,1.0,3.0,43.0,292.0,0,0,0,0,employee,0,0,0,0,0,0
148,False,2.0,151.0,217.0,1255.0,0,0,0,0,employee,0,0,0,0,0,0
150,False,2.0,68.0,43.0,373.0,0,0,0,0,employee,0,0,0,0,0,0
152,True,3.0,99.0,200.0,1167.0,0,0,0,0,employee,0,0,0,0,0,0
153,False,6.0,248.0,541.0,3951.0,3,0,1,1,employee,0,46,15.333333333333334,0,1.3333333333333333,5
155,True,11.0,438.0,691.0,5573.0,4,0,3,1,employee,0,56,14.0,0,0.0,0
156,True,9.0,162.0,766.0,5812.0,3,0,1,1,employee,0,11,3.6666666666666665,0,1.3333333333333333,4
157,False,1.0,3.0,74.0,393.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
158,False,1.0,1.0,32.0,238.0,0,0,0,0,employee,0,0,0,0,0,0
160,False,1.0,2.0,39.0,296.0,0,0,0,0,employee,0,0,0,0,0,0
162,True,5.0,1271.0,223.0,1511.0,3,0,1,1,employee,0,33,11.0,0,0.0,0
165,True,3.0,118.0,18.0,165.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
168,False,4.0,69.0,204.0,1238.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
170,False,2.0,4.0,159.0,860.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
172,False,5.0,48.0,483.0,3807.0,0,0,0,0,employee,0,0,0,0,0,0
174,True,1.0,71.0,5.0,72.0,1,0,1,0,employee,1,48,48.0,936,0.0,0
185,False,1.0,2.0,45.0,295.0,2,0,2,0,employee,0,4,2.0,0,0.0,0
186,False,1.0,3.0,35.0,190.0,0,0,0,0,employee,0,0,0,0,0,0
188,False,1.0,3.0,75.0,396.0,1,1,0,0,employee,0,2,2.0,0,0.0,0
192,True,2.0,91.0,50.0,389.0,5,0,2,1,employee,0,40,8.0,0,1.8,25
197,False,1.0,20.0,74.0,390.0,2,0,1,1,employee,1,47,23.5,936,0.0,0
199,False,2.0,47.0,37.0,287.0,2,0,2,0,employee,1,52,26.0,936,0.0,0
