id,degradation,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
248,False,64.0,3363.0,958.0,8028.0,6,0,0,3,employee,0,58,9.666666666666666,0,0.16666666666666666,0
253,False,3.0,144.0,7.0,16.0,0,0,0,0,employee,0,0,0,0,0,0
260,False,10.0,75.0,408.0,3636.0,1,0,1,0,employee,0,5,5.0,0,0.0,0
261,False,34.0,427.0,361.0,4402.0,2,0,1,1,employee,0,16,8.0,0,0.0,0
284,False,28.0,390.0,93.0,1524.0,1,0,0,1,employee,0,8,8.0,0,0.0,1
294,True,9.0,553.0,809.0,5337.0,7,0,0,3,employee,0,224,32.0,0,0.0,1
296,False,1.0,2.0,0.0,0.0,0,0,0,0,employee,0,0,0,0,0,0
321,False,9.0,106.0,110.0,1470.0,0,0,0,0,employee,0,0,0,0,0,0
338,False,8.0,272.0,180.0,2080.0,5,0,0,2,employee,0,74,14.8,0,0.0,0
339,False,2.0,4.0,22.0,338.0,0,0,0,0,employee,0,0,0,0,0,0
342,True,3.0,200.0,205.0,1497.0,1,0,0,1,temporary,0,4,4.0,0,0.0,0
346,False,2.0,9.0,85.0,904.0,2,0,0,2,employee,0,49,24.5,0,0.0,0
350,True,8.0,522.0,192.0,2152.0,0,0,0,0,employee,0,0,0,0,0,0
359,False,8.0,126.0,476.0,2877.0,4,0,1,1,employee,0,27,6.75,0,0.0,0
361,True,43.0,3023.0,881.0,6841.0,1,0,0,1,temporary,0,3,3.0,0,0.0,0
363,False,2.0,14.0,50.0,433.0,0,0,0,0,employee,0,0,0,0,0,0
379,False,1.0,8.0,91.0,370.0,1,0,0,1,employee,0,5,5.0,0,0.0,0
381,False,1.0,84.0,128.0,722.0,1,0,0,1,employee,0,4,4.0,0,0.0,0
409,False,1.0,69.0,9.0,126.0,0,0,0,0,employee,0,0,0,0,0,1
415,False,11.0,114.0,257.0,1922.0,6,0,1,1,employee,0,83,13.833333333333334,0,0.0,1
416,False,1.0,62.0,13.0,149.0,0,0,0,0,employee,0,0,0,0,0,0
420,False,1.0,8.0,15.0,165.0,0,0,0,0,employee,0,0,0,0,0,0
421,False,1.0,77.0,9.0,111.0,0,0,0,0,employee,0,0,0,0,0,0
422,False,9.0,406.0,33.0,699.0,5,0,1,2,employee,0,25,5.0,0,0.0,0
425,False,2.0,16.0,73.0,623.0,2,0,1,1,employee,0,16,8.0,0,0.0,0
427,False,1.0,7.0,122.0,779.0,0,0,0,0,employee,0,0,0,0,0,0
460,False,2.0,4.0,-10.0,-54.0,0,0,0,0,employee,0,0,0,0,0,0
461,False,1.0,2.0,0.0,0.0,0,0,0,0,employee,0,0,0,0,0,0
463,False,1.0,2.0,20.0,132.0,0,0,0,0,employee,0,0,0,0,0,5
464,False,70.0,5052.0,2641.0,19359.0,1,0,0,1,employee,0,4,4.0,0,0.0,3
465,False,17.0,360.0,230.0,2490.0,1,0,0,1,employee,0,9,9.0,0,0.0,9
475,False,1.0,2.0,155.0,797.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
482,True,43.0,545.0,1483.0,8925.0,4,0,0,2,employee,0,74,18.5,0,0.25,1
490,False,1.0,9.0,62.0,384.0,0,0,0,0,employee,0,0,0,0,0,1
506,False,12.0,237.0,1026.0,7667.0,3,0,1,2,employee,0,19,6.333333333333333,0,0.6666666666666666,1
508,False,1.0,4.0,17.0,97.0,2,0,1,1,employee,0,5,2.5,0,0.0,0
512,False,1.0,2.0,6.0,73.0,0,0,0,0,employee,0,0,0,0,0,0
515,False,1.0,14.0,33.0,206.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
518,True,13.0,80.0,69.0,985.0,0,0,0,0,temporary,0,0,0,0,0,0
543,False,1.0,8.0,15.0,114.0,0,0,0,0,employee,0,0,0,0,0,0
544,True,6.0,200.0,40.0,492.0,0,0,0,0,employee,0,0,0,0,0,0
548,False,3.0,18.0,251.0,1499.0,17,2,1,2,employee,0,287,16.88235294117647,0,0.0,2
553,False,3.0,5.0,146.0,849.0,0,0,0,0,employee,0,0,0,0,0,0
554,False,1.0,13.0,224.0,1272.0,1,0,0,1,employee,0,5,5.0,0,0.0,0
566,True,1.0,188.0,22.0,247.0,2,0,0,1,employee,0,21,10.5,0,0.5,1
584,False,60.0,2870.0,369.0,4696.0,0,0,0,0,employee,0,0,0,0,0,4
585,False,69.0,3466.0,465.0,5825.0,3,0,0,2,employee,0,135,45.0,0,0.0,0
586,False,3.0,48.0,13.0,351.0,6,0,1,2,employee,0,62,10.333333333333334,0,0.0,0
587,True,4.0,506.0,29.0,345.0,8,0,0,3,employee,0,318,39.75,0,0.0,0
590,False,3.0,30.0,64.0,710.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
594,True,89.0,1976.0,939.0,10009.0,8,0,0,2,employee,2,303,37.875,130,0.0,2
619,True,15.0,736.0,219.0,1630.0,0,0,0,0,employee,0,0,0,0,0,0
630,False,2.0,95.0,136.0,1252.0,4,1,1,1,employee,0,71,17.75,0,0.0,3
633,True,24.0,1009.0,137.0,1580.0,2,0,0,2,employee,0,25,12.5,0,4.0,11
646,False,1.0,5.0,35.0,240.0,1,0,0,1,temporary,0,2,2.0,0,0.0,0
648,False,2.0,19.0,180.0,1228.0,0,0,0,0,temporary,0,0,0,0,0,0
664,True,14.0,1734.0,1090.0,8589.0,2,0,0,2,employee,0,41,20.5,0,0.0,1
682,True,26.0,2126.0,211.0,2693.0,6,0,1,1,employee,0,100,16.666666666666668,0,0.0,1
692,False,1.0,59.0,0.0,65.0,0,0,0,0,employee,0,0,0,0,0,0
697,False,2.0,20.0,9.0,132.0,2,0,1,1,employee,0,17,8.5,0,0.0,0
704,False,1.0,4.0,16.0,186.0,0,0,0,0,temporary,0,0,0,0,0,0
934,False,1.0,4.0,0.0,2.0,0,0,0,0,temporary,0,0,0,0,0,0
946,False,1.0,5.0,10.0,66.0,0,0,0,0,temporary,0,0,0,0,0,0
1421,False,1.0,41.0,141.0,911.0,3,1,0,1,temporary,0,57,19.0,0,0.0,0
1806,False,50.0,897.0,1868.0,13098.0,0,0,0,0,employee,0,0,0,0,0,0
1891,True,132.0,2924.0,4634.0,33025.0,0,0,0,0,temporary,0,0,0,0,0,0
1954,True,210.0,4387.0,7193.0,51686.0,2,1,0,1,temporary,0,974,487.0,0,0.0,0
2030,False,386.0,9265.0,13014.0,95008.0,3,1,0,1,temporary,0,27,9.0,0,0.0,1
2156,True,600.0,19357.0,16388.0,123268.0,0,0,0,0,employee,0,0,0,0,0,0
2213,True,610.0,20179.0,15978.0,121083.0,0,0,0,0,employee,0,0,0,0,0,0
2225,False,1.0,31.0,106.0,657.0,4,1,0,2,employee,0,67,16.75,0,0.0,0
2293,True,454.0,17611.0,11296.0,82818.0,1,1,0,0,temporary,0,12,12.0,0,0.0,0
2315,True,904.0,33743.0,21784.0,162445.0,1,0,0,1,employee,0,5,5.0,0,0.0,0
2316,True,411.0,14474.0,10224.0,72729.0,1,0,0,1,employee,0,5,5.0,0,0.0,0
2423,True,249.0,7394.0,6312.0,42636.0,4,2,0,1,temporary,0,30,7.5,0,0.0,0
2489,True,191.0,6204.0,5601.0,36960.0,1,1,0,0,temporary,0,12,12.0,0,0.0,0
2505,True,925.0,44155.0,32074.0,230679.0,2,2,0,0,temporary,0,16,8.0,0,0.0,0
2569,True,48.0,613.0,2457.0,12954.0,0,0,0,0,employee,0,0,0,0,0,0
3315,True,968.0,56572.0,22978.0,178093.0,0,0,0,0,employee,0,0,0,0,0,0
3995,True,954.0,44692.0,33883.0,287337.0,1,0,0,1,employee,0,4,4.0,0,0.0,0
4097,True,999.0,45551.0,34482.0,290216.0,0,0,0,0,employee,0,0,0,0,0,0
4540,True,1020.0,55925.0,35881.0,283268.0,0,0,0,0,temporary,0,0,0,0,0,0
5623,True,166.0,7295.0,6940.0,53887.0,10,0,2,1,employee,0,157,15.7,0,49.9,499
6291,False,420.0,27993.0,16167.0,132268.0,11,0,1,1,employee,0,110,10.0,0,1.1818181818181819,20
8451,True,196.0,6726.0,11611.0,87219.0,3,1,1,1,temporary,0,16,5.333333333333333,0,0.3333333333333333,1
8789,False,228.0,6282.0,12574.0,98447.0,1,1,0,0,temporary,0,5,5.0,0,0.0,0
9390,True,366.0,9806.0,17546.0,129602.0,14,0,1,2,employee,1,331,23.642857142857142,310,6.857142857142857,98
9644,True,687.0,21878.0,26890.0,202688.0,17,2,2,1,temporary,1,295,17.352941176470587,474,1.411764705882353,26
