id,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
924,4.0,116.0,458.0,9313.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
1374,1.0,122.0,20.0,163.0,2,1,0,1,employee,0,11,5.5,0,0.0,0
2820,3.0,104.0,457.0,9798.0,8,0,1,2,employee,0,91,11.375,0,5.625,48
3108,1.0,84.0,0.0,0.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
1229,2.0,106.0,379.0,7901.0,0,0,0,0,employee,0,0,0,0,0,0
332,5.0,84.0,141.0,1925.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
2992,2.0,77.0,37.0,369.0,1,0,0,1,employee,0,3,3.0,0,0.0,0
2868,1.0,76.0,88.0,898.0,0,0,0,0,employee,0,0,0,0,0,0
1003,4.0,80.0,108.0,2162.0,4,1,0,2,employee,0,23,5.75,0,0.25,0
230,1.0,41.0,10.0,98.0,3,1,1,1,employee,0,56,18.666666666666668,0,2.0,6
3199,6.0,578.0,200.0,1134.0,0,0,0,0,employee,0,0,0,0,0,0
3324,4.0,1299.0,161.0,1521.0,0,0,0,0,employee,0,0,0,0,0,0
953,1.0,24.0,16.0,362.0,0,0,0,0,employee,0,0,0,0,0,0
3449,2.0,68.0,111.0,759.0,3,0,0,3,employee,0,11,3.6666666666666665,0,28.666666666666668,87
262,16.0,657.0,37.0,987.0,11,1,1,1,employee,0,222,20.181818181818183,0,0.0,0
140,6.0,211.0,148.0,2711.0,1,0,0,1,employee,0,9,9.0,0,0.0,0
232,4.0,20.0,278.0,4602.0,1,1,0,0,employee,0,8,8.0,0,0.0,2
275,3.0,294.0,312.0,5050.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
1749,1.0,24.0,23.0,210.0,3,0,0,2,employee,0,14,4.666666666666667,0,0.0,0
3377,3.0,37.0,73.0,912.0,1,0,0,1,employee,0,8,8.0,0,0.0,3
1966,2.0,49.0,137.0,1759.0,1,0,0,1,employee,0,6,6.0,0,0.0,1
1882,1.0,12.0,4.0,148.0,2,0,1,1,employee,0,5,2.5,0,0.0,0
973,2.0,133.0,46.0,702.0,2,1,0,1,employee,0,16,8.0,0,0.0,0
1731,1.0,162.0,0.0,0.0,0,0,0,0,employee,0,0,0,0,0,0
2244,2.0,31.0,40.0,425.0,2,0,1,1,employee,0,8,4.0,0,12.5,25
410,3.0,71.0,281.0,5249.0,3,1,1,0,employee,1,49,16.333333333333332,171,0.0,12
2987,2.0,57.0,12.0,261.0,6,0,1,2,employee,1,66,11.0,126,2.0,0
3042,3.0,100.0,427.0,9626.0,3,0,1,1,employee,1,42,14.0,275,0.0,0
1726,4.0,129.0,204.0,1865.0,1,0,1,0,employee,0,6,6.0,0,0.0,0
651,29.0,2296.0,358.0,3809.0,2,1,0,0,employee,0,16,8.0,0,0.5,1
988,5.0,92.0,83.0,976.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
2593,3.0,58.0,111.0,1651.0,0,0,0,0,employee,0,0,0,0,0,0
411,1.0,2.0,37.0,520.0,2,1,0,1,employee,0,10,5.0,0,6.0,12
3255,5.0,469.0,600.0,3297.0,0,0,0,0,employee,0,0,0,0,0,0
3093,2.0,30.0,185.0,1493.0,2,0,0,2,employee,0,87,43.5,0,0.0,0
3300,7.0,590.0,594.0,4068.0,0,0,0,0,employee,0,0,0,0,0,0
256,2.0,274.0,17.0,265.0,3,1,0,1,employee,0,39,13.0,0,0.6666666666666666,3
1752,18.0,364.0,365.0,4092.0,0,0,0,0,employee,0,0,0,0,0,0
1119,4.0,135.0,10.0,280.0,1,1,0,0,employee,0,9,9.0,0,0.0,1
3352,4.0,302.0,24.0,302.0,0,0,0,0,employee,0,0,0,0,0,0
3220,2.0,77.0,253.0,1269.0,0,0,0,0,employee,0,0,0,0,0,0
2837,4.0,303.0,176.0,2296.0,0,0,0,0,employee,0,0,0,0,0,0
1291,2.0,77.0,14.0,236.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
1306,8.0,18.0,31.0,623.0,3,1,1,0,employee,0,49,16.333333333333332,0,0.0,0
1793,3.0,43.0,104.0,1144.0,0,0,0,0,employee,0,0,0,0,0,0
324,31.0,292.0,494.0,7816.0,3,1,0,0,employee,0,27,9.0,0,0.0,0
569,1.0,61.0,299.0,6230.0,6,1,2,0,employee,1,325,54.166666666666664,114,0.3333333333333333,0
841,9.0,315.0,426.0,8832.0,0,0,0,0,employee,0,0,0,0,0,0
2966,1.0,52.0,54.0,463.0,1,0,0,1,employee,0,4,4.0,0,0.0,0
2990,1.0,96.0,20.0,192.0,0,0,0,0,employee,0,0,0,0,0,10
3104,2.0,35.0,33.0,185.0,2,0,0,1,employee,0,11,5.5,0,9.5,19
3202,4.0,491.0,186.0,1074.0,0,0,0,0,employee,0,0,0,0,0,0
177,5.0,234.0,204.0,3380.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
1552,2.0,93.0,15.0,236.0,2,1,0,1,employee,0,11,5.5,0,1.0,2
1453,1.0,25.0,72.0,1056.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
109,5.0,145.0,238.0,4880.0,3,0,0,1,employee,0,37,12.333333333333334,0,2.3333333333333335,7
1901,4.0,121.0,152.0,1474.0,1,0,0,1,employee,0,4,4.0,0,0.0,3
2238,2.0,20.0,14.0,243.0,8,0,0,2,employee,2,222,27.75,792,3.375,28
966,7.0,442.0,846.0,17595.0,4,1,0,1,employee,0,28,7.0,0,1.0,10
778,2.0,115.0,47.0,441.0,9,1,1,2,employee,0,147,16.333333333333332,0,0.0,0
1103,4.0,640.0,419.0,8317.0,3,1,0,2,employee,0,18,6.0,0,1.3333333333333333,4
1895,4.0,144.0,323.0,2810.0,19,0,0,2,employee,5,2445,128.68421052631578,8874,0.5789473684210527,11
786,1.0,932.0,403.0,8474.0,3,1,1,1,employee,0,21,7.0,0,0.0,0
819,2.0,80.0,39.0,248.0,3,1,1,1,employee,0,152,50.666666666666664,0,0.0,0
1350,4.0,98.0,18.0,297.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
2875,1.0,7.0,33.0,232.0,0,0,0,0,employee,0,0,0,0,0,0
892,34.0,538.0,558.0,10648.0,8,2,1,1,employee,1,228,28.5,98,0.0,0
877,1.0,2.0,27.0,247.0,2,1,0,1,employee,0,11,5.5,0,0.0,0
1195,3.0,17.0,24.0,454.0,4,1,0,2,employee,0,43,10.75,0,0.0,3
977,2.0,43.0,13.0,196.0,0,0,0,0,employee,0,0,0,0,0,0
116,77.0,1988.0,2034.0,27690.0,0,0,0,0,employee,0,0,0,0,0,0
353,1.0,34.0,35.0,586.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
1387,11.0,102.0,56.0,949.0,0,0,0,0,employee,0,0,0,0,0,0
2880,1.0,26.0,413.0,9318.0,7,0,1,2,employee,0,116,16.571428571428573,0,0.5714285714285714,6
403,8.0,172.0,552.0,10389.0,9,1,1,2,employee,0,47,5.222222222222222,0,0.2222222222222222,2
373,9.0,90.0,403.0,6839.0,3,1,0,1,employee,0,18,6.0,0,0.0,0
615,1.0,18.0,49.0,350.0,2,1,0,1,employee,0,21,10.5,0,0.0,0
880,5.0,61.0,50.0,525.0,17,1,1,2,employee,4,275,16.176470588235293,550,0.058823529411764705,0
3,2.0,148.0,128.0,2276.0,0,0,0,0,employee,0,0,0,0,0,0
1254,2.0,40.0,24.0,460.0,1,1,0,0,employee,0,8,8.0,0,0.0,3
2938,1.0,8.0,46.0,321.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
112,1.0,8.0,111.0,2329.0,0,0,0,0,employee,0,0,0,0,0,0
3194,16.0,719.0,299.0,1863.0,0,0,0,0,employee,0,0,0,0,0,0
201,3.0,108.0,55.0,645.0,16,1,1,1,employee,19,1201,75.0625,6039,0.5625,13
888,6.0,1184.0,516.0,10009.0,3,1,0,1,employee,0,58,19.333333333333332,0,0.0,0
1235,4.0,474.0,71.0,583.0,12,1,2,2,employee,3,508,42.333333333333336,552,0.5833333333333334,8
2465,4.0,224.0,62.0,553.0,1,0,0,1,employee,0,14,14.0,0,0.0,9
3117,4.0,1881.0,615.0,11901.0,1,0,0,1,employee,0,9,9.0,0,0.0,0
861,4.0,478.0,458.0,9228.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
3019,4.0,803.0,84.0,1868.0,0,0,0,0,employee,0,0,0,0,0,0
863,1.0,33.0,9.0,178.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
940,11.0,781.0,614.0,10494.0,1,1,0,0,employee,0,9,9.0,0,0.0,2
2867,3.0,14.0,55.0,410.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
1714,9.0,457.0,582.0,11214.0,0,0,0,0,employee,0,0,0,0,0,0
609,4.0,236.0,319.0,6667.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
3309,6.0,511.0,523.0,3126.0,0,0,0,0,employee,0,0,0,0,0,0
110,2.0,18.0,47.0,497.0,0,0,0,0,employee,0,0,0,0,0,0
508,1.0,27.0,1.0,27.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
749,6.0,654.0,52.0,714.0,2,1,0,1,employee,0,11,5.5,0,0.0,0
3292,7.0,714.0,110.0,1044.0,0,0,0,0,employee,0,0,0,0,0,0
3325,12.0,1918.0,748.0,6092.0,0,0,0,0,employee,0,0,0,0,0,0
1148,6.0,15820.0,405.0,8499.0,0,0,0,0,employee,0,0,0,0,0,0
1286,40.0,218.0,1337.0,24730.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
3081,12.0,2696.0,474.0,10698.0,5,0,2,2,employee,0,109,21.8,0,0.2,4
1904,2.0,34.0,26.0,490.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
976,2.0,9.0,9.0,174.0,0,0,0,0,employee,0,0,0,0,0,0
