design_change,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
True,6.0,516.0,27.0,437.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
False,1.0,20.0,5.0,88.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,8.0,482.0,289.0,4678.0,9,1,2,1,employee,1,248,27.555555555555557,753,0.0,0
True,5.0,369.0,234.0,4324.0,9,1,1,1,employee,1,210,23.333333333333332,806,0.0,0
True,4.0,287.0,227.0,4254.0,5,1,0,1,employee,1,130,26.0,753,0.0,0
True,27.0,1930.0,1273.0,22354.0,6,1,1,1,employee,0,95,15.833333333333334,0,0.0,0
True,6.0,96.0,222.0,4305.0,6,1,1,1,employee,4,161,26.833333333333332,312,0.0,0
False,2.0,65.0,268.0,4801.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,3.0,253.0,232.0,4274.0,2,1,0,1,employee,0,12,6.0,0,0.0,0
False,9.0,90.0,403.0,6839.0,3,1,0,1,employee,0,18,6.0,0,0.0,0
True,4.0,292.0,245.0,4566.0,8,1,2,1,employee,0,150,18.75,0,0.0,0
True,3.0,237.0,225.0,4326.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,3.0,68.0,6.0,93.0,9,1,3,1,employee,1,313,34.77777777777778,1251,0.0,0
True,3.0,237.0,225.0,4326.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,4.0,241.0,16.0,299.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
False,4.0,141.0,10.0,257.0,2,1,1,0,employee,0,21,10.5,0,0.0,0
True,10.0,389.0,292.0,5152.0,3,1,1,0,employee,0,31,10.333333333333334,0,0.0,0
True,2.0,184.0,234.0,4510.0,4,1,2,1,employee,0,23,5.75,0,0.0,1
True,9.0,397.0,589.0,10317.0,9,1,1,2,employee,0,240,26.666666666666668,0,0.0,5
True,2.0,8.0,227.0,4371.0,2,1,0,1,employee,0,11,5.5,0,0.0,0
True,2.0,279.0,239.0,4471.0,2,1,0,1,employee,0,11,5.5,0,1.5,3
True,13.0,627.0,339.0,5785.0,2,1,0,0,employee,0,16,8.0,0,0.0,0
False,2.0,4.0,18.0,458.0,1,1,0,0,employee,0,9,9.0,0,0.0,0
True,8.0,754.0,57.0,760.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,15.0,608.0,952.0,16399.0,1,1,0,0,employee,0,4,4.0,0,0.0,0
True,3.0,294.0,260.0,4773.0,1,1,0,0,employee,0,4,4.0,0,0.0,0
False,1.0,66.0,221.0,4358.0,1,1,0,0,employee,0,4,4.0,0,0.0,0
True,3.0,138.0,229.0,4497.0,3,1,0,1,employee,0,10,3.3333333333333335,0,1.0,3
False,3.0,75.0,19.0,376.0,1,1,0,0,employee,0,4,4.0,0,0.0,0
True,8.0,172.0,552.0,10389.0,9,1,1,2,employee,0,47,5.222222222222222,0,0.2222222222222222,2
True,15.0,515.0,555.0,10654.0,8,1,2,1,employee,0,68,8.5,0,1.75,14
True,3.0,282.0,337.0,5555.0,2,1,0,1,employee,0,8,4.0,0,0.0,0
False,3.0,71.0,281.0,5249.0,3,1,1,0,employee,1,49,16.333333333333332,171,0.0,12
False,1.0,2.0,37.0,520.0,2,1,0,1,employee,0,10,5.0,0,6.0,12
False,2.0,140.0,20.0,222.0,3,1,0,1,employee,0,48,16.0,0,3.0,10
True,5.0,253.0,252.0,4882.0,7,1,1,2,employee,0,91,13.0,0,1.0,9
False,2.0,19.0,226.0,4453.0,2,1,0,0,employee,0,16,8.0,0,0.0,9
False,2.0,21.0,231.0,4522.0,3,1,0,1,employee,0,23,7.666666666666667,0,3.0,9
False,1.0,0.0,0.0,0.0,3,1,0,1,employee,0,23,7.666666666666667,0,2.0,6
True,2.0,250.0,18.0,252.0,11,3,0,1,temporary,0,433,39.36363636363637,0,0.18181818181818182,2
False,3.0,34.0,322.0,5727.0,5,1,0,2,employee,0,50,10.0,0,0.0,1
True,16.0,618.0,556.0,10758.0,1,1,0,0,employee,0,8,8.0,0,0.0,0
True,4.0,464.0,36.0,632.0,2,1,0,1,employee,0,28,14.0,0,0.0,0
False,2.0,43.0,100.0,1303.0,8,1,0,2,employee,0,75,9.375,0,0.375,3
