design_change,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
True,20.0,3514.0,572.0,4741.0,1,0,1,0,employee,0,5,5.0,0,0.0,0
False,23.0,283.0,973.0,6487.0,0,0,0,0,employee,0,0,0,0,0,3
False,3.0,105.0,15.0,393.0,1,0,0,1,employee,0,21,21.0,0,0.0,0
False,1.0,7.0,35.0,281.0,1,0,0,1,employee,0,14,14.0,0,0.0,0
True,10.0,566.0,186.0,2097.0,3,0,1,1,employee,1,118,39.333333333333336,1201,1.0,3
False,1.0,8.0,108.0,625.0,1,0,1,0,employee,0,3,3.0,0,0.0,0
False,48.0,3040.0,1071.0,13970.0,1,0,1,0,employee,0,4,4.0,0,0.0,3
False,11.0,161.0,506.0,4713.0,9,0,2,0,employee,0,177,19.666666666666668,0,2.2222222222222223,27
True,18.0,1571.0,354.0,3426.0,7,0,2,2,employee,0,99,14.142857142857142,0,0.2857142857142857,3
True,3.0,332.0,166.0,1150.0,0,0,0,0,employee,0,0,0,0,0,0
False,2.0,55.0,116.0,831.0,1,1,0,0,employee,0,8,8.0,0,0.0,61
False,203.0,1936.0,3281.0,58834.0,0,0,0,0,employee,0,0,0,0,0,0
False,5.0,38.0,366.0,2443.0,1,0,0,1,employee,0,10,10.0,0,0.0,6
False,1.0,58.0,267.0,1558.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
False,10.0,86.0,358.0,2933.0,2,0,1,1,employee,0,127,63.5,0,0.0,0
False,6.0,140.0,568.0,2891.0,0,0,0,0,employee,0,0,0,0,0,0
False,3.0,57.0,75.0,1067.0,5,0,1,1,employee,0,54,10.8,0,0.8,5
False,2.0,37.0,16.0,204.0,2,0,1,1,employee,0,4,2.0,0,0.0,0
False,3.0,83.0,174.0,1603.0,0,0,0,0,employee,0,0,0,0,0,0
False,3.0,173.0,161.0,3264.0,4,1,1,0,employee,0,52,13.0,0,0.25,2
False,2.0,2.0,32.0,376.0,2,0,1,1,employee,0,25,12.5,0,0.0,0
False,2.0,51.0,60.0,482.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
True,60.0,3961.0,1670.0,12887.0,1,0,1,0,employee,0,2,2.0,0,0.0,1
False,2.0,26.0,143.0,1327.0,0,0,0,0,employee,0,0,0,0,0,2
True,138.0,16362.0,3294.0,28474.0,6,0,1,3,employee,3,191,31.833333333333332,546,2.8333333333333335,18
True,6.0,207.0,41.0,461.0,0,0,0,0,employee,0,0,0,0,0,0
True,11.0,950.0,366.0,3317.0,4,0,1,2,employee,0,131,32.75,0,0.0,4
False,9.0,122.0,188.0,1342.0,0,0,0,0,employee,0,0,0,0,0,0
True,4.0,167.0,10.0,214.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
True,27.0,465.0,1208.0,8609.0,1,0,0,1,employee,0,4,4.0,0,0.0,0
True,2.0,70.0,77.0,1996.0,2,0,2,0,employee,0,6,3.0,0,0.0,0
True,36.0,1070.0,972.0,8053.0,2,0,1,1,employee,0,8,4.0,0,0.0,0
True,2.0,96.0,44.0,306.0,0,0,0,0,employee,0,0,0,0,0,19
True,14.0,382.0,249.0,2535.0,0,0,0,0,employee,0,0,0,0,0,6
True,3.0,104.0,294.0,1790.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
False,6.0,119.0,250.0,3135.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
True,3.0,126.0,97.0,1291.0,0,0,0,0,employee,0,0,0,0,0,2
False,1.0,47.0,38.0,341.0,2,0,0,2,employee,0,27,13.5,0,106.5,0
False,2.0,72.0,221.0,2481.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
True,39.0,1031.0,519.0,4488.0,3,0,1,1,employee,0,61,20.333333333333332,0,0.0,5
True,1.0,103.0,10.0,104.0,2,0,1,1,employee,0,4,2.0,0,0.0,0
True,13.0,1533.0,162.0,1705.0,2,0,1,1,employee,0,13,6.5,0,0.0,1
False,2.0,21.0,17.0,214.0,2,0,1,1,employee,0,4,2.0,0,0.0,0
False,8.0,181.0,361.0,3629.0,1,0,1,0,employee,0,4,4.0,0,0.0,2
False,3.0,163.0,86.0,704.0,15,0,3,0,employee,1,342,22.8,153,0.9333333333333333,19
True,13.0,621.0,450.0,3140.0,0,0,0,0,employee,0,0,0,0,0,7
False,2.0,19.0,68.0,405.0,1,0,0,1,employee,0,2,2.0,0,0.0,17
True,2.0,80.0,97.0,689.0,1,0,0,1,employee,0,2,2.0,0,0.0,3
True,3.0,146.0,27.0,323.0,1,0,0,1,employee,0,4,4.0,0,0.0,1
True,12.0,888.0,396.0,4322.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
False,5.0,74.0,214.0,2326.0,1,0,1,0,employee,0,3,3.0,0,0.0,1
False,1.0,37.0,157.0,1040.0,1,0,1,0,employee,0,2,2.0,0,0.0,12
False,13.0,369.0,211.0,1930.0,3,0,0,3,employee,0,14,4.666666666666667,0,0.0,3
False,4.0,192.0,74.0,774.0,3,0,0,3,employee,1,54,18.0,14,9.0,34
False,4.0,423.0,122.0,890.0,9,0,0,4,employee,1,189,21.0,32,0.1111111111111111,31
False,3.0,37.0,338.0,2855.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
True,66.0,6800.0,872.0,8812.0,4,0,1,1,employee,1,86,21.5,51,0.0,9
True,2.0,26.0,280.0,1744.0,0,0,0,0,employee,0,0,0,0,0,1
True,13.0,929.0,752.0,4713.0,4,1,0,3,employee,0,25,6.25,0,6.25,27
True,16.0,159.0,287.0,2644.0,3,0,0,2,employee,0,47,15.666666666666666,0,0.0,1
False,3.0,165.0,164.0,2224.0,2,0,1,1,employee,0,17,8.5,0,0.0,1
True,5.0,189.0,305.0,1956.0,4,0,0,3,employee,0,38,9.5,0,0.75,4
True,12.0,737.0,469.0,3200.0,1,0,0,1,employee,0,2,2.0,0,0.0,25
False,2.0,15.0,80.0,479.0,1,0,0,1,employee,0,2,2.0,0,0.0,5
False,3.0,28.0,9.0,330.0,1,0,0,1,employee,0,4,4.0,0,0.0,0
False,6.0,90.0,126.0,1700.0,2,0,0,2,employee,0,10,5.0,0,2.0,6
False,1.0,2.0,7.0,79.0,2,0,1,1,employee,0,6,3.0,0,0.0,1
True,6.0,155.0,352.0,2481.0,1,0,0,1,employee,0,3,3.0,0,0.0,16
False,2.0,39.0,51.0,287.0,2,0,0,2,employee,0,6,3.0,0,0.0,16
True,53.0,941.0,958.0,12622.0,0,0,0,0,employee,0,0,0,0,0,0
False,2.0,28.0,26.0,427.0,0,0,0,0,employee,0,0,0,0,0,19
False,8.0,214.0,342.0,2546.0,1,0,0,1,employee,0,16,16.0,0,0.0,21
True,8.0,187.0,336.0,1934.0,2,0,2,0,employee,0,50,25.0,0,0.0,9
False,2.0,4.0,97.0,690.0,1,0,1,0,employee,0,6,6.0,0,0.0,0
False,6.0,42.0,94.0,1003.0,1,0,0,1,employee,0,3,3.0,0,0.0,3
True,32.0,728.0,1401.0,10374.0,6,0,2,0,employee,0,56,9.333333333333334,0,0.16666666666666666,9
False,3.0,177.0,292.0,1410.0,2,0,1,1,employee,0,16,8.0,0,0.0,0
True,36.0,906.0,2188.0,13564.0,1,0,1,0,employee,0,2,2.0,0,0.0,6
False,1.0,18.0,41.0,369.0,2,0,2,0,employee,0,7,3.5,0,0.0,0
True,6.0,435.0,274.0,2153.0,1,0,0,1,employee,0,4,4.0,0,0.0,0
False,2.0,49.0,50.0,374.0,1,0,0,1,employee,0,5,5.0,0,0.0,4
True,22.0,500.0,554.0,4909.0,2,0,0,2,employee,0,21,10.5,0,0.5,4
False,2.0,30.0,53.0,266.0,0,0,0,0,employee,0,0,0,0,0,0
False,2.0,54.0,211.0,1435.0,2,0,2,0,employee,0,8,4.0,0,0.0,0
False,25.0,210.0,791.0,6857.0,2,0,2,0,employee,0,14,7.0,0,0.0,4
False,13.0,391.0,753.0,6455.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
False,8.0,170.0,89.0,1005.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
False,13.0,160.0,715.0,4422.0,3,0,1,1,employee,0,14,4.666666666666667,0,0.0,1
False,2.0,7.0,28.0,260.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
False,1.0,8.0,13.0,124.0,1,0,0,1,employee,0,2,2.0,0,0.0,2
True,2.0,175.0,68.0,408.0,2,0,0,2,employee,0,7,3.5,0,0.0,0
True,1.0,7.0,5.0,90.0,2,0,1,1,employee,0,11,5.5,0,0.0,0
False,5.0,119.0,293.0,2281.0,1,0,1,0,employee,0,5,5.0,0,0.0,9
True,27.0,710.0,1951.0,10620.0,1,0,1,0,employee,0,9,9.0,0,0.0,1
False,1.0,6.0,20.0,167.0,3,0,1,1,employee,0,35,11.666666666666666,0,0.0,0
False,1.0,4.0,35.0,280.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
False,2.0,17.0,251.0,1935.0,0,0,0,0,employee,0,0,0,0,0,0
False,10.0,59.0,180.0,1628.0,1,0,1,0,employee,0,9,9.0,0,0.0,0
False,3.0,46.0,76.0,536.0,1,0,1,0,employee,0,12,12.0,0,0.0,6
False,1.0,5.0,185.0,1097.0,1,0,1,0,employee,0,2,2.0,0,0.0,0
True,71.0,3884.0,2247.0,19400.0,9,0,1,1,employee,0,112,12.444444444444445,0,0.0,33
False,2.0,11.0,71.0,478.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
True,1.0,26.0,100.0,593.0,2,0,1,1,employee,0,4,2.0,0,0.0,1
True,5.0,277.0,226.0,2563.0,3,0,1,1,employee,0,14,4.666666666666667,0,0.0,2
False,3.0,188.0,327.0,1993.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
True,2.0,303.0,37.0,534.0,1,0,0,1,employee,0,6,6.0,0,0.0,2
